train_size,train_mean,train_std,val_mean,val_std
38,0.9795321335877206,0.010528121827486615,0.8236809221558374,0.02897402110944407
76,0.9739840388625229,0.016792374075149392,0.8666571268428853,0.03378634043022465
115,0.9527723228668188,0.013829427496032174,0.893512565573036,0.03465890469420376
153,0.9380359183905764,0.012209633842613175,0.8801316036175798,0.03527960430116447
192,0.9435559552886243,0.006459084175960753,0.8710242224754566,0.037374216005078
230,0.9474319575433319,0.0077747752261083086,0.8642823773221281,0.03466759480582145
268,0.9515961932849724,0.00457807236840222,0.8733952217018462,0.035161776222719494
307,0.9498255871841372,0.005176113644365001,0.8787119593403115,0.03386586944048526
345,0.9511449495714555,0.00540193284864287,0.8864110785080281,0.0364073807881756
384,0.9511319007604362,0.005375780529865639,0.885829445854967,0.035740249114819815
