fpr,tpr
0.0,0.0
0.022222222222222223,0.0
0.022222222222222223,0.024793388429752067
0.044444444444444446,0.03305785123966942
0.06666666666666667,0.03305785123966942
0.06666666666666667,0.04132231404958678
0.06666666666666667,0.05785123966942149
0.06666666666666667,0.0743801652892562
0.06666666666666667,0.10743801652892562
0.06666666666666667,0.12396694214876033
0.06666666666666667,0.1487603305785124
0.08888888888888889,0.17355371900826447
0.08888888888888889,0.18181818181818182
0.13333333333333333,0.18181818181818182
0.13333333333333333,0.23140495867768596
0.13333333333333333,0.2727272727272727
0.13333333333333333,0.2809917355371901
0.13333333333333333,0.30578512396694213
0.13333333333333333,0.32231404958677684
0.13333333333333333,0.35537190082644626
0.13333333333333333,0.4380165289256198
0.15555555555555556,0.4380165289256198
0.17777777777777778,0.4462809917355372
0.17777777777777778,0.45454545454545453
0.2,0.45454545454545453
0.2,0.5371900826446281
0.2222222222222222,0.5371900826446281
0.2222222222222222,0.5537190082644629
0.24444444444444444,0.5537190082644629
0.24444444444444444,0.5950413223140496
0.26666666666666666,0.5950413223140496
0.26666666666666666,0.6198347107438017
0.28888888888888886,0.628099173553719
0.3111111111111111,0.628099173553719
0.3111111111111111,0.6528925619834711
0.3333333333333333,0.6611570247933884
0.3333333333333333,0.7024793388429752
0.35555555555555557,0.7024793388429752
0.35555555555555557,0.7107438016528925
0.4444444444444444,0.7107438016528925
0.4444444444444444,0.71900826446281
0.5111111111111111,0.71900826446281
0.5111111111111111,0.7272727272727273
0.5333333333333333,0.7272727272727273
0.5333333333333333,0.7520661157024794
0.5555555555555556,0.7520661157024794
0.5555555555555556,0.768595041322314
0.5777777777777777,0.768595041322314
0.5777777777777777,0.7851239669421488
0.5777777777777777,0.8016528925619835
0.6,0.8016528925619835
0.6,0.8099173553719008
0.6444444444444445,0.8099173553719008
0.6444444444444445,0.8512396694214877
0.7555555555555555,0.8512396694214877
0.7555555555555555,0.8842975206611571
0.7777777777777778,0.8842975206611571
0.7777777777777778,0.9008264462809917
0.8222222222222222,0.9008264462809917
0.8222222222222222,0.9090909090909091
0.8444444444444444,0.9090909090909091
0.8444444444444444,0.9504132231404959
0.9111111111111111,0.9504132231404959
0.9111111111111111,0.9669421487603306
0.9333333333333333,0.9669421487603306
0.9333333333333333,0.9834710743801653
0.9777777777777777,0.9834710743801653
0.9777777777777777,0.9917355371900827
1.0,0.9917355371900827
1.0,1.0
