precision,recall,threshold
0.7289156626506024,1.0,0.3206623346264264
0.7272727272727273,0.9917355371900827,0.3523481414297082
0.7317073170731707,0.9917355371900827,0.3824275838639566
0.7300613496932515,0.9834710743801653,0.40557959782652914
0.7345679012345679,0.9834710743801653,0.4137210721260465
0.7391304347826086,0.9834710743801653,0.4257024859870683
0.7375,0.9752066115702479,0.43578714856097867
0.7358490566037735,0.9669421487603306,0.44113913175203123
0.740506329113924,0.9669421487603306,0.4559026764264296
0.7388535031847133,0.9586776859504132,0.46336050254811467
0.7371794871794872,0.9504132231404959,0.47112265930560304
0.7419354838709677,0.9504132231404959,0.4891596796071676
0.7467532467532467,0.9504132231404959,0.49132322481771423
0.7516339869281046,0.9504132231404959,0.5
0.75,0.9421487603305785,0.5216970301654156
0.7483443708609272,0.9338842975206612,0.5303263825929284
0.7466666666666667,0.9256198347107438,0.5410149552212852
0.7449664429530202,0.9173553719008265,0.5460434113756087
0.7432432432432432,0.9090909090909091,0.5509258347094168
0.7482993197278912,0.9090909090909091,0.5542626854269134
0.7465753424657534,0.9008264462809917,0.5543099256985644
0.7517241379310344,0.9008264462809917,0.5706218629944076
0.7569444444444444,0.9008264462809917,0.5710944610179872
0.7552447552447552,0.8925619834710744,0.58
0.7535211267605634,0.8842975206611571,0.5810917878737948
0.7588652482269503,0.8842975206611571,0.59
0.7571428571428571,0.8760330578512396,0.5912875221480999
0.7553956834532374,0.8677685950413223,0.5918509118913432
0.7536231884057971,0.859504132231405,0.5972217706687932
0.7518248175182481,0.8512396694214877,0.6002773029439696
0.7573529411764706,0.8512396694214877,0.6051325029413789
0.762962962962963,0.8512396694214877,0.61
0.7686567164179104,0.8512396694214877,0.6102875399361022
0.7744360902255639,0.8512396694214877,0.6105825242718447
0.7803030303030303,0.8512396694214877,0.6107181174921836
0.7786259541984732,0.8429752066115702,0.6135867117859776
0.7769230769230769,0.8347107438016529,0.6136790248789891
0.7751937984496124,0.8264462809917356,0.62
0.7734375,0.8181818181818182,0.6206392643113047
0.7716535433070866,0.8099173553719008,0.6210497276554547
0.7777777777777778,0.8099173553719008,0.6220874219446924
0.784,0.8099173553719008,0.6304869800473454
0.782258064516129,0.8016528925619835,0.6314026188795296
0.7886178861788617,0.8016528925619835,0.64
0.7851239669421488,0.7851239669421488,0.6402803738317757
0.7833333333333333,0.7768595041322314,0.6440823997116337
0.7815126050420168,0.768595041322314,0.650122199592668
0.788135593220339,0.768595041322314,0.6519834710743803
0.7863247863247863,0.7603305785123967,0.660135593220339
0.7844827586206896,0.7520661157024794,0.6604715127701375
0.7913043478260869,0.7520661157024794,0.6605040180082795
0.7894736842105263,0.743801652892562,0.6612040712331705
0.7876106194690266,0.7355371900826446,0.670029683756307
0.7857142857142857,0.7272727272727273,0.670290832455216
0.7927927927927928,0.7272727272727273,0.6703170874926601
0.7909090909090909,0.71900826446281,0.6706052706777003
0.7981651376146789,0.71900826446281,0.6754293105088002
0.8055555555555556,0.71900826446281,0.68
0.8130841121495327,0.71900826446281,0.6815652173913043
0.8113207547169812,0.7107438016528925,0.6848811188811189
0.819047619047619,0.7107438016528925,0.69
